X,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
32,S87540889,Canada Goose,Branta canadensis,2021-05-08,12:55 PM,10,22,US-OK,34.7112086,-98.6755943,41,5,2021
42,S103266888,Canada Goose,Branta canadensis,2022-02-20,02:05 PM,2,65,US-OK,36.2081998,-96.0600758,29,2,2022
52,S16771971,Canada Goose,Branta canadensis,2014-02-02,04:00 PM,178,30,US-MO,38.5615895,-90.2653885,193,2,2014
62,S17701725,Canada Goose,Branta canadensis,2014-04-01,06:30 PM,8,25,US-MO,38.6389068,-90.2853806,35,4,2014
72,S18284435,Canada Goose,Branta canadensis,2014-05-08,08:20 AM,5,90,US-MO,38.6389068,-90.2853806,130,5,2014
82,S21499852,Canada Goose,Branta canadensis,2015-01-22,10:30 AM,24,30,US-MO,38.6389068,-90.2853806,85,1,2015
92,S33780633,Canada Goose,Branta canadensis,2017-01-19,07:01 AM,145,56,US-MO,38.6389068,-90.2853806,240,1,2017
102,S36310000,Canada Goose,Branta canadensis,2017-04-27,11:46 AM,2,41,US-MO,38.6389068,-90.2853806,21,4,2017
112,S89689436,Canada Goose,Branta canadensis,2021-06-05,05:55 PM,1,85,US-MO,38.6383932,-90.267979,56,6,2021
122,S41266689,Canada Goose,Branta canadensis,2017-12-23,08:41 AM,2,80,US-MO,38.6129807,-90.2593803,58,12,2017
132,S65338838,Canada Goose,Branta canadensis,2020-03-01,04:23 PM,2,38,US-OK,36.152075,-95.9778614,49,3,2020
142,S65697899,Canada Goose,Branta canadensis,2020-03-11,06:58 PM,36,47,US-OK,36.1166302,-95.9907184,281,3,2020
313,S77745729,Mallard,Anas platyrhynchos,2020-12-20,11:59 AM,8,72,US-OK,36.2081998,-96.0600758,57,12,2020
323,S17365487,Mallard,Anas platyrhynchos,2014-03-08,09:10 AM,30,20,US-MO,38.614255,-90.2916527,84,3,2014
333,S17543272,Mallard,Anas platyrhynchos,2014-03-20,09:20 AM,2,80,US-MO,38.6389068,-90.2853806,102,3,2014
343,S18038666,Mallard,Anas platyrhynchos,2014-04-22,06:30 PM,1,75,US-MO,38.6389068,-90.2853806,76,4,2014
353,S20016034,Mallard,Anas platyrhynchos,2014-10-03,08:45 AM,25,45,US-MO,38.6389068,-90.2853806,189,10,2014
363,S21145290,Mallard,Anas platyrhynchos,2015-01-02,09:00 AM,25,5,US-MO,38.6389068,-90.2853806,119,1,2015
373,S22776681,Mallard,Anas platyrhynchos,2015-04-09,06:20 PM,2,25,US-MO,38.6389068,-90.2853806,42,4,2015
383,S33616660,Mallard,Anas platyrhynchos,2017-01-12,07:00 AM,12,90,US-MO,38.6389068,-90.2853806,272,1,2017
393,S36305628,Mallard,Anas platyrhynchos,2017-04-27,06:56 AM,4,121,US-MO,38.6389068,-90.2853806,260,4,2017
403,S49551085,Mallard,Anas platyrhynchos,2018-10-25,01:30 PM,6,70,US-MO,38.6389068,-90.2853806,63,10,2018
413,S22828782,Mallard,Anas platyrhynchos,2015-04-12,11:00 AM,6,150,US-MO,38.6129807,-90.2593803,112,4,2015
423,S19661218,Mallard,Anas platyrhynchos,2014-09-01,09:00 AM,15,120,US-MO,38.6066358,-90.2582139,43,9,2014
433,S68152310,Mallard,Anas platyrhynchos,2020-04-30,07:12 PM,2,13,US-OK,36.1514978,-95.9796871,33,4,2020
443,S64885104,Mallard,Anas platyrhynchos,2020-02-22,09:33 AM,3,45,US-OK,35.872406,-95.401213,153,2,2020
1157,S18486321,Ring-billed Gull,Larus delawarensis,2014-05-17,08:30 AM,1,90,US-VT,43.7615212,-73.3468035,58,5,2014
1167,S40745512,Ring-billed Gull,Larus delawarensis,2017-11-26,09:30 AM,2,28,US-MO,38.8809946,-90.1894283,5,11,2017
1177,S20987277,Ring-billed Gull,Larus delawarensis,2014-12-22,09:30 AM,5,60,US-MO,38.6389068,-90.2853806,177,12,2014
1187,S64885073,Ring-billed Gull,Larus delawarensis,2020-02-20,03:59 PM,6,93,US-OK,36.116064,-95.98525,200,2,2020
1197,S64885104,Ring-billed Gull,Larus delawarensis,2020-02-22,09:33 AM,9,45,US-OK,35.872406,-95.401213,153,2,2020
3935,S89739368,European Starling,Sturnus vulgaris,2021-06-06,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
3945,S18386525,European Starling,Sturnus vulgaris,2014-05-14,10:45 AM,3,15,US-MO,38.637439,-90.2565372,20,5,2014
3955,S17377851,European Starling,Sturnus vulgaris,2014-03-09,03:45 PM,6,80,US-MO,38.6389068,-90.2853806,118,3,2014
3965,S18038666,European Starling,Sturnus vulgaris,2014-04-22,06:30 PM,4,75,US-MO,38.6389068,-90.2853806,76,4,2014
3975,S21419958,European Starling,Sturnus vulgaris,2015-01-19,08:30 AM,4,0,US-MO,38.6389068,-90.2853806,25,1,2015
3985,S35654197,European Starling,Sturnus vulgaris,2017-04-02,06:46 PM,5,37,US-MO,38.6389068,-90.2853806,36,4,2017
3995,S37374545,European Starling,Sturnus vulgaris,2017-06-04,07:53 AM,12,118,US-MO,38.6389068,-90.2853806,108,6,2017
4005,S19761146,European Starling,Sturnus vulgaris,2014-09-07,08:30 AM,6,180,US-MO,38.636316,-90.296545,105,9,2014
4015,S18250965,European Starling,Sturnus vulgaris,2014-05-04,08:45 AM,17,120,US-MO,38.7472557,-90.1926899,143,5,2014
4025,S21381789,European Starling,Sturnus vulgaris,2015-01-17,11:30 AM,17,90,US-MO,38.5708329,-90.3004558,253,1,2015
4035,S68524485,European Starling,Sturnus vulgaris,2020-05-06,07:38 PM,2,54,US-OK,36.1431952,-95.9334761,27,5,2020
4045,S81561574,European Starling,Sturnus vulgaris,2021-02-15,07:30 AM,3,60,US-OK,36.1441933,-95.933674,38,2,2021
4055,S36840493,European Starling,Sturnus vulgaris,2017-05-13,09:00 AM,2,10,US-MO,38.8291565,-91.0498206,13,5,2017
4374,S37075088,American Robin,Turdus migratorius,2017-05-22,06:17 PM,2,9,US-VT,43.7829965,-73.3154315,61,5,2017
4384,S89739368,American Robin,Turdus migratorius,2021-06-06,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
4394,S18131445,American Robin,Turdus migratorius,2014-04-27,09:00 AM,1,120,US-CA,32.7297356,-117.1503818,117,4,2014
4404,S18386525,American Robin,Turdus migratorius,2014-05-14,10:45 AM,5,15,US-MO,38.637439,-90.2565372,20,5,2014
